NUTS,Location,Year,Election Type,PS,PSD,PCP,CDS,BE,Abstention
Município,Crato,2009,Parliament,42.02,21.47,16.74,7.64,12.77,31.8
Município,Cuba,2009,Parliament,38.74,9.89,39.51,5.24,13.52,30.7
NUTS III,Douro,2009,Parliament,37.58,38.49,3.38,9.23,3.89,44.1
Município,Elvas,2009,Parliament,43.86,21.50,6.10,6.38,8.45,49.5
Município,Entroncamento,2009,Parliament,32.10,23.86,7.84,8.8,12.91,35.9
Município,Espinho,2009,Parliament,37.16,32.02,8.03,19.34,4.9,32.8
Município,Esposende,2009,Parliament,31.15,37.80,3.78,9.23,10.84,39
Município,Estarreja,2009,Parliament,30.27,39.06,4.62,16.66,11.47,44
Município,Estremoz,2009,Parliament,37.29,26.81,14.07,4.52,12.79,37.1
Município,Évora,2009,Parliament,35.07,22.30,18.23,8.02,9.88,38.4
Município,Fafe,2009,Parliament,48.95,29.01,4.39,7.32,3.77,38.7
Município,Faro,2009,Parliament,34.08,26.98,8.28,8.81,13.12,41
Município,Felgueiras,2009,Parliament,47.21,30.77,3.92,12.86,4.64,36
Município,Ferreira do Alentejo,2009,Parliament,42.63,11.59,29.79,3.81,5.9,40.2
Município,Ferreira do Zêzere,2009,Parliament,33.19,41.62,2.65,13.01,19.87,36.3
Município,Figueira da Foz,2009,Parliament,38.39,28.72,6.35,7.56,14.67,43
Município,Figueira de Castelo Rodrigo,2009,Parliament,39.21,43.31,1.42,6.64,10.45,39.1
Município,Figueiró dos Vinhos,2009,Parliament,31.55,48.16,1.87,5.89,8.75,33.8
Município,Fornos de Algodres,2009,Parliament,33.14,40.88,2.46,7.8,5.36,37.1
Município,Freixo de Espada à Cinta,2009,Parliament,41.92,42.08,2.12,13.97,6.44,36.7
Município,Fronteira,2009,Parliament,40.21,28.37,11.94,11.3,13.72,33.9
Município,Fundão,2009,Parliament,42.27,31.13,4.62,14.65,5.66,41.8
Município,Gavião,2009,Parliament,48.05,19.01,10.83,7.02,8.93,34.3
Município,Góis,2009,Parliament,45.55,36.92,2.36,9.96,13.14,37.8
Município,Golegã,2009,Parliament,33.66,18.63,16.20,9.37,11.15,38.3
Município,Gondomar,2009,Parliament,42.26,26.56,8.71,9.87,10.26,34.8
Município,Gouveia,2009,Parliament,37.22,38.95,4.25,8.73,9.72,42.7
Município,Grândola,2009,Parliament,34.63,15.02,28.98,5.64,12.29,35.5
Município,Guarda,2009,Parliament,37.71,31.86,3.67,8.8,7.65,37.2
Município,Guimarães,2009,Parliament,48.17,25.41,6.76,7.73,7.19,33
Município,Idanha-a-Nova,2009,Parliament,47.38,31.02,3.49,9.09,12.02,39.6
Município,Ílhavo,2009,Parliament,29.32,37.07,4.02,14.36,9.15,48.2
Município,Lagoa,2009,Parliament,31.57,26.14,7.39,10.8,15.93,40.1
Município,Lagos,2009,Parliament,36.94,21.60,8.85,12.58,17.06,40.3
Município,Lamego,2009,Parliament,35.20,37.28,4.13,6.41,5.43,41.7
Município,Leiria,2009,Parliament,30.20,37.64,2.98,9.98,5.55,37.3
NUTS III,Lezíria do Tejo,2009,Parliament,36.84,22.86,13.04,5.71,11.2,40
Município,Lisboa,2009,Parliament,35.83,29.77,8.81,14,10.42,38.2
Município,Loulé,2009,Parliament,31.34,33.68,5.04,10.56,17.16,45
Município,Loures,2009,Parliament,40.56,20.09,15.53,11.82,10.11,35.8
Município,Lourinhã,2009,Parliament,30.84,36.83,4.21,14.5,10.89,39.8
Município,Lousã,2009,Parliament,45.57,26.95,4.21,5.27,7.63,37.7
Município,Lousada,2009,Parliament,49.47,30.02,4.20,7.92,7.58,34.1
Município,Mação,2009,Parliament,37.09,39.17,3.67,12.79,6.69,28.5
Município,Macedo de Cavaleiros,2009,Parliament,31.76,42.34,2.23,11.2,8.71,49.6
Município,Mafra,2009,Parliament,36.65,30.02,6.00,9.34,10.67,36.9
Município,Maia,2009,Parliament,41.86,30.07,5.28,8.64,11.21,31.3
Município,Mangualde,2009,Parliament,43.89,35.22,3.19,14.69,4.14,41.8
Município,Manteigas,2009,Parliament,43.93,28.15,6.28,11.88,11.37,43.5
Município,Marco de Canaveses,2009,Parliament,43.93,30.50,3.61,7.77,6.32,39.1
Município,Marinha Grande,2009,Parliament,36.07,17.23,18.53,15.94,9.94,40.2
Município,Marvão,2009,Parliament,41.51,32.80,4.48,6.4,11.32,36.4
Município,Matosinhos,2009,Parliament,45.85,24.81,6.42,9.3,11.11,33.9
Município,Mealhada,2009,Parliament,45.18,27.23,5.86,8.31,12.26,42.7
Município,Mêda,2009,Parliament,33.56,43.12,1.78,8.33,9.45,42.6
NUTS III,Médio Tejo,2009,Parliament,33.16,33.17,6.29,4.65,6.47,37.7
Município,Melgaço,2009,Parliament,48.97,32.23,1.87,8.14,10.74,58.9
Município,Mértola,2009,Parliament,38.87,9.03,36.85,4.98,7.99,35.8
Município,Mesão Frio,2009,Parliament,43.51,37.14,2.42,14.79,6.76,38.7
Município,Mira,2009,Parliament,40.34,37.74,1.82,7.9,11.37,43.1
Município,Miranda do Corvo,2009,Parliament,45.64,29.00,4.36,9.79,8.21,39.1
Município,Miranda do Douro,2009,Parliament,41.44,41.61,1.13,14.92,6.34,44
Município,Mirandela,2009,Parliament,24.05,45.61,3.33,8.26,5.36,44.5
Município,Mogadouro,2009,Parliament,30.36,44.44,1.01,18.05,6.97,45.1
Município,Moimenta da Beira,2009,Parliament,36.67,40.52,2.57,10.32,5.44,49.2
Município,Moita,2009,Parliament,31.56,11.44,28.66,12,11.25,42.1
Município,Monção,2009,Parliament,39.24,32.80,2.28,7.54,5.26,53
Município,Monchique,2009,Parliament,34.21,30.64,7.88,12.3,13.51,31.4
Município,Mondim de Basto,2009,Parliament,34.20,35.87,2.64,8.46,8.42,49
Município,Monforte,2009,Parliament,38.56,19.33,17.26,9.39,7.98,35.7
Município,Montalegre,2009,Parliament,46.61,41.88,1.30,9.24,6,50.1
Município,Montemor-o-Novo,2009,Parliament,32.72,15.77,34.56,7.78,13.47,35.4
Município,Montemor-o-Velho,2009,Parliament,42.77,26.59,6.42,7.78,10.77,41.7
Município,Montijo,2009,Parliament,36.34,20.44,14.71,7.88,16.86,43.6
Município,Mora,2009,Parliament,28.36,18.00,36.50,4.64,8.76,39.8
Município,Mortágua,2009,Parliament,40.82,36.36,2.29,10.47,10.62,49.7
Município,Moura,2009,Parliament,41.17,14.26,26.45,4.05,7.05,52.4
Município,Mourão,2009,Parliament,47.72,25.10,9.78,5.05,8.14,38
Município,Murça,2009,Parliament,38.00,40.64,1.86,14.21,4.54,46.4
Município,Murtosa,2009,Parliament,21.89,53.11,3.11,15.31,11.31,53.1
Município,Nazaré,2009,Parliament,39.42,27.00,7.87,15.15,9.04,49.2
Município,Nelas,2009,Parliament,35.08,36.99,3.08,10.95,5.31,42.9
Município,Nisa,2009,Parliament,39.56,25.92,12.44,9.88,11.15,36.2
NUTS II,Norte,2009,Parliament,41.32,32.16,4.93,10.78,10.3,37.4
Município,Óbidos,2009,Parliament,37.62,33.43,5.34,8.63,14.37,42.7
Município,Odemira,2009,Parliament,36.51,15.39,23.90,5.7,12.54,39.5
Município,Odivelas,2009,Parliament,40.11,23.44,10.38,10.33,14.53,37.1
Município,Oeiras,2009,Parliament,35.75,29.80,8.03,10.65,11.76,35
NUTS III,Oeste,2009,Parliament,35.90,30.83,8.07,11.88,9.84,40.4
Município,Oleiros,2009,Parliament,26.07,58.01,1.40,7.87,5.91,40.9
Município,Olhão,2009,Parliament,31.55,23.88,9.23,8.06,13.75,48.6
Município,Oliveira de Azeméis,2009,Parliament,38.22,34.85,2.84,8.83,11.74,35.9
Município,Oliveira de Frades,2009,Parliament,32.05,43.98,2.81,14.23,8.86,34.8
Município,Oliveira do Bairro,2009,Parliament,17.40,50.04,2.13,12.92,6.31,42.4
Município,Oliveira do Hospital,2009,Parliament,40.22,38.18,2.51,11.07,7.84,35.1
Município,Ourém,2009,Parliament,23.98,49.28,2.04,8.49,7.97,41.2
Município,Ourique,2009,Parliament,40.35,31.28,14.71,6.41,8.78,31.6
Município,Ovar,2009,Parliament,40.21,29.35,6.53,22.68,5.96,39
Município,Paços de Ferreira,2009,Parliament,43.99,36.55,3.22,12.78,6.83,34.3
Município,Palmela,2009,Parliament,33.85,16.60,20.11,12.18,10.82,41.6
Município,Pampilhosa da Serra,2009,Parliament,41.54,41.58,1.88,10.01,6.75,40.2
Município,Paredes,2009,Parliament,40.95,35.58,4.01,12.34,8.62,31.2
Município,Paredes de Coura,2009,Parliament,45.30,29.75,3.34,13.92,8.99,45.3
Município,Pedrógão Grande,2009,Parliament,25.06,53.87,3.15,6.71,17.57,42.2
Município,Penacova,2009,Parliament,44.12,36.22,4.87,7.28,4.58,42.5
Município,Penafiel,2009,Parliament,45.35,31.67,4.54,9.61,4.77,31.5
Município,Penalva do Castelo,2009,Parliament,37.19,38.77,3.56,14.12,5.22,44.5
Município,Penamacor,2009,Parliament,43.50,30.54,3.28,8.04,3.77,42.5
Município,Penedono,2009,Parliament,34.94,36.30,3.77,12.84,4.91,51.7
Município,Penela,2009,Parliament,36.95,44.40,1.82,7.11,5.24,39.8
Município,Peniche,2009,Parliament,34.76,27.11,12.79,11.44,8.91,48.4
Município,Peso da Régua,2009,Parliament,40.67,34.15,5.07,13.91,9.31,47.7
Município,Pinhel,2009,Parliament,29.48,42.24,3.82,14.09,3.72,43.8
Município,Pombal,2009,Parliament,29.18,45.23,2.15,9.63,5,49.9
Município,Ponte da Barca,2009,Parliament,45.80,37.66,1.80,7.99,8.9,45.7
Município,Ponte de Lima,2009,Parliament,27.95,32.68,3.03,7.29,5.07,39.1
Município,Ponte de Sor,2009,Parliament,36.29,18.52,21.66,8.19,9.76,40.8
Município,Portalegre,2009,Parliament,37.53,32.34,6.52,7.31,12,37.3
Município,Portel,2009,Parliament,41.96,8.87,34.96,5.22,9.19,36.3
Município,Portimão,2009,Parliament,33.01,25.38,6.96,11.81,17.62,40.4
Município,Porto,2009,Parliament,37.03,31.66,7.68,11.5,5.98,35.7
Município,Porto de Mós,2009,Parliament,31.99,37.47,3.29,12.04,7.92,36.8
Município,Póvoa de Lanhoso,2009,Parliament,43.52,38.29,2.19,21.29,4.47,40.1
Município,Póvoa de Varzim,2009,Parliament,33.03,38.30,3.93,10.98,10.44,43.1
Município,Proença-a-Nova,2009,Parliament,38.48,41.60,1.29,11.91,7.27,35.3
Município,Redondo,2009,Parliament,36.77,17.95,18.74,3.26,7.93,42.6
NUTS III,Região de Aveiro,2009,Parliament,30.25,38.51,3.93,9.43,10.71,42.2
NUTS III,Região de Coimbra,2009,Parliament,39.58,31.60,5.89,19.74,5.15,40.2
NUTS III,Região de Leiria,2009,Parliament,30.52,38.23,4.60,9.02,8.03,40.3
Município,Reguengos de Monsaraz,2009,Parliament,46.71,19.76,13.53,7.89,14.47,43.8
Município,Resende,2009,Parliament,51.73,30.26,2.90,9.1,6.76,38.2
Município,Ribeira de Pena,2009,Parliament,38.48,45.70,1.65,5.41,3.33,50
Município,Rio Maior,2009,Parliament,32.94,36.48,4.41,13.12,13.6,37
Município,Sabrosa,2009,Parliament,47.09,35.70,2.23,11.02,6.53,44.6
Município,Sabugal,2009,Parliament,36.96,36.11,3.19,14.43,6.35,49.7
Município,Salvaterra de Magos,2009,Parliament,39.67,16.93,11.17,14.65,8.62,45.7
Município,Santa Comba Dão,2009,Parliament,38.62,42.58,1.89,13.55,4.83,40.6
Município,Santa Maria da Feira,2009,Parliament,41.48,32.45,3.71,14.18,8.4,36.4
Município,Santa Marta de Penaguião,2009,Parliament,47.64,33.33,2.82,8.42,4.74,47.2
Município,Santarém,2009,Parliament,36.01,28.20,8.45,8.8,19.17,37.1
Município,Santiago do Cacém,2009,Parliament,32.29,18.11,23.95,6.74,12.36,39.5
Município,Santo Tirso,2009,Parliament,49.12,28.71,4.59,9.53,9.75,31.1
Município,São Brás de Alportel,2009,Parliament,34.76,27.59,7.17,12.06,18.08,42.9
Município,São João da Madeira,2009,Parliament,40.37,29.53,4.94,7.33,8.23,36.8
Município,São João da Pesqueira,2009,Parliament,37.31,35.90,3.46,8.92,5.68,51.3
Município,São Pedro do Sul,2009,Parliament,39.33,37.43,3.78,9.59,6.07,42.6
Município,Sardoal,2009,Parliament,30.71,38.63,4.64,16.2,5.88,27.3
Município,Sátão,2009,Parliament,28.54,40.87,1.57,10.12,7.17,47.5
Município,Seia,2009,Parliament,43.91,31.68,4.77,12.74,6.37,41.4
Município,Seixal,2009,Parliament,36.06,17.05,19.85,10.47,14.89,39.7
Município,Sernancelhe,2009,Parliament,30.72,45.91,1.24,13.73,6.81,45
Município,Serpa,2009,Parliament,29.31,13.52,40.79,5.29,5.73,44.8
Município,Sertã,2009,Parliament,33.51,43.61,1.36,12.06,9.29,37.8
Município,Sesimbra,2009,Parliament,34.84,18.71,17.43,10.36,13.67,41.4
Município,Setúbal,2009,Parliament,33.02,19.44,16.41,10.21,15.24,41.4
Município,Sever do Vouga,2009,Parliament,25.13,45.14,2.40,8.42,12.62,35.6
Município,Silves,2009,Parliament,31.62,24.91,12.46,12.08,13.74,41.7
Município,Sines,2009,Parliament,35.03,16.24,20.56,7.37,14.29,41
Município,Sintra,2009,Parliament,38.89,22.40,9.81,11.98,15.97,40.3
Município,Sobral de Monte Agraço,2009,Parliament,37.01,21.13,18.13,10.9,10.23,40.3
Município,Soure,2009,Parliament,47.45,23.79,6.69,8.53,5.72,42.2
Município,Sousel,2009,Parliament,36.22,30.44,15.58,9.38,11.63,33.2
Município,Tábua,2009,Parliament,44.53,36.06,3.18,7.87,11.06,37.5
Município,Tabuaço,2009,Parliament,34.83,38.03,1.54,17.11,3.21,41.5
NUTS III,Tâmega e Sousa,2009,Parliament,46.33,32.32,3.51,10.31,3.92,37
Município,Tarouca,2009,Parliament,32.72,38.18,4.70,19.42,4.25,48.1
Município,Tavira,2009,Parliament,33.90,28.30,6.20,9.65,16.36,41.2
Município,Terras de Bouro,2009,Parliament,36.03,41.29,3.34,15.76,7.9,41.1
NUTS III,Terras de Trás-os-Montes,2009,Parliament,33.39,41.95,2.53,11.37,8.32,46.7
Município,Tomar,2009,Parliament,33.45,31.92,6.01,12.94,6,38.9
Município,Tondela,2009,Parliament,31.73,43.46,3.08,21.77,5.59,43
Município,Torre de Moncorvo,2009,Parliament,38.16,41.37,2.40,17,5.31,45.7
Município,Torres Novas,2009,Parliament,35.76,24.43,10.12,11.98,12.85,37.3
Município,Torres Vedras,2009,Parliament,38.13,29.62,8.54,8.73,10.61,38.3
Município,Trancoso,2009,Parliament,32.32,42.91,1.94,9.24,7.5,43.6
Município,Trofa,2009,Parliament,43.00,33.43,3.74,11.05,11.26,30.6
Município,Vagos,2009,Parliament,14.63,57.08,1.27,18.02,6.49,46
Município,Vale de Cambra,2009,Parliament,31.22,32.42,3.13,10.84,6.9,35.9
Município,Valença,2009,Parliament,36.18,38.53,3.70,27.71,5.67,45.5
Município,Valongo,2009,Parliament,44.49,26.24,7.05,20.91,8.42,34.5
Município,Valpaços,2009,Parliament,27.16,53.60,1.47,9.84,2.69,52.8
Município,Vendas Novas,2009,Parliament,27.79,19.66,28.83,5.4,11.39,38
Município,Viana do Alentejo,2009,Parliament,32.41,14.30,32.23,8.75,10.5,42.3
Município,Viana do Castelo,2009,Parliament,37.07,28.00,6.81,11.02,7.36,40.3
Município,Vidigueira,2009,Parliament,36.46,13.77,29.45,5.15,8.71,40.5
Município,Vieira do Minho,2009,Parliament,42.53,37.21,2.48,8.42,4.97,41
Município,Vila de Rei,2009,Parliament,16.68,55.34,2.10,9.71,16.26,28.7
Município,Vila do Bispo,2009,Parliament,40.07,23.19,7.20,11.37,15.39,40.3
Município,Vila do Conde,2009,Parliament,46.73,29.99,4.33,8.94,10.66,36.5
Município,Vila Flor,2009,Parliament,37.53,35.50,3.89,17.41,4.61,46.6
Município,Vila Franca de Xira,2009,Parliament,39.34,16.88,18.07,12.14,12.93,36.9
Município,Vila Nova da Barquinha,2009,Parliament,38.04,21.24,10.50,16.25,5.96,37.8
Município,Vila Nova de Cerveira,2009,Parliament,45.58,33.08,2.36,12.67,12.08,38.8
Município,Vila Nova de Famalicão,2009,Parliament,45.82,30.26,4.02,8.28,5.08,31.8
Município,Vila Nova de Foz Côa,2009,Parliament,39.57,41.39,3.11,10.37,5.23,42.9
Município,Vila Nova de Gaia,2009,Parliament,42.42,28.07,6.75,8.15,8.82,34.7
Município,Vila Nova de Paiva,2009,Parliament,25.77,43.17,2.61,13.73,6.2,54.2
Município,Vila Nova de Poiares,2009,Parliament,35.28,41.32,3.67,7.76,5.71,44
Município,Vila Pouca de Aguiar,2009,Parliament,37.24,43.19,3.36,12.21,3.86,49.6
Município,Vila Real,2009,Parliament,35.57,39.15,3.69,8.86,4.83,40.6
Município,Vila Real de Santo António,2009,Parliament,31.44,23.33,13.73,8.84,16.2,45.8
Município,Vila Velha de Ródão,2009,Parliament,50.67,30.53,5.38,10.09,5.87,29.3
Município,Vila Verde,2009,Parliament,33.14,40.06,2.71,10.92,4.84,41
Município,Vila Viçosa,2009,Parliament,34.18,22.46,17.90,5.1,11.39,39
Município,Vimioso,2009,Parliament,34.38,54.12,1.16,13.82,7.33,51.3
Município,Vinhais,2009,Parliament,43.10,33.78,1.95,4.82,3.24,48.6
Município,Viseu,2009,Parliament,32.51,39.91,2.76,21.12,5.72,42.6
NUTS III,Viseu Dão Lafões,2009,Parliament,34.30,40.16,2.73,14.53,9.41,43.1
Município,Vizela,2009,Parliament,57.83,18.69,4.92,9.76,7.83,31.8
Município,Vouzela,2009,Parliament,35.01,40.21,2.59,13.64,9.41,38
Município,Abrantes,2011,Parliament,33.83,32.48,8.25,12.58,7.47,41
Município,Águeda,2011,Parliament,28.11,46.79,3.75,13.58,4.48,42.1
Município,Aguiar da Beira,2011,Parliament,19.76,57.43,1.2,17.81,1.65,51.2
Município,Alandroal,2011,Parliament,37.13,20.49,27.43,5.79,4.5,39
Município,Albergaria-a-Velha,2011,Parliament,23.12,45.62,3.62,20.18,4.02,42.1
Município,Albufeira,2011,Parliament,20.78,42.61,7.35,14.03,8.19,47
Município,Alcácer do Sal,2011,Parliament,31.85,18.42,29.87,7.72,6.77,42.6
Município,Alcanena,2011,Parliament,23.5,43.25,9.29,12.76,6.39,40.2
Município,Alcobaça,2011,Parliament,22.87,50.22,4.89,12.67,5.01,37.2
Município,Alcochete,2011,Parliament,24.91,29.29,19.17,14.43,6.72,37.4
Município,Alcoutim,2011,Parliament,36.23,44.53,5.82,7.66,2.13,40
Município,Alenquer,2011,Parliament,32.89,30.49,13.18,11.08,6.19,38
NUTS II,Alentejo,2011,Parliament,30.35,29.98,19.05,10.06,5.57,42.5
NUTS III,Alentejo Central,2011,Parliament,30.08,28.42,22.82,9.03,5.08,41
NUTS III,Alentejo Litoral,2011,Parliament,28.62,25.25,24.23,8.58,7.16,41.7
Município,Alfândega da Fé,2011,Parliament,35.9,49.78,2.01,8.31,1.39,44.3
NUTS II,Algarve,2011,Parliament,24.02,38.76,8.97,13.3,8.54,44.2
NUTS III,Algarve,2011,Parliament,24.02,38.76,8.97,13.3,8.54,44.2
Município,Alijó,2011,Parliament,37.11,46.99,3.04,8.21,2.09,47.2
Município,Aljezur,2011,Parliament,26.7,29.97,13.85,12.06,7.67,42
Município,Aljustrel,2011,Parliament,32.43,13.83,38.9,4.76,5.38,40.9
Município,Almada,2011,Parliament,29.08,28.61,17.7,12.82,6.88,39.9
Município,Almeida,2011,Parliament,24.37,52.64,3.11,12.94,3.39,47.1
Município,Almeirim,2011,Parliament,32.63,31.36,11.2,12.95,6.46,45.6
Município,Almodôvar,2011,Parliament,33.82,38.97,10.11,6.45,5.26,46.5
Município,Alpiarça,2011,Parliament,26.29,19.47,36.31,7.25,4.73,39.5
Município,Alter do Chão,2011,Parliament,30.19,34.85,14.88,13.47,3.52,40.4
NUTS III,Alto Alentejo,2011,Parliament,33.72,33.74,13.32,10.54,4.63,42.1
NUTS III,Alto Minho,2011,Parliament,27.35,45.53,5.14,14.04,4.59,47.5
NUTS III,Alto Tâmega,2011,Parliament,27.7,57.19,2.61,8.03,1.89,52.5
Município,Alvaiázere,2011,Parliament,12.84,65.49,1.2,16.22,1.75,40.5
Município,Alvito,2011,Parliament,30.19,28.87,23.24,9.6,2.73,43
Município,Amadora,2011,Parliament,32.9,30.95,11.66,12.68,6.2,38.8
Município,Amarante,2011,Parliament,38.08,45.89,3.01,6.67,3.25,44.7
Município,Amares,2011,Parliament,28.71,46,3.05,14.69,4.03,45.1
Município,Anadia,2011,Parliament,20.23,55.86,3.12,12.99,4.13,42.7
Município,Ansião,2011,Parliament,20.87,61.96,1.94,9.78,2.38,39.5
Município,Arcos de Valdevez,2011,Parliament,26.53,56.16,2.18,9.87,2.57,59.1
NUTS II,Área Metropolitana de Lisboa,2011,Parliament,28.62,32.82,12.62,14.15,6.34,38.6
NUTS III,Área Metropolitana de Lisboa,2011,Parliament,28.62,32.82,12.62,14.15,6.34,38.6
NUTS III,Área Metropolitana do Porto,2011,Parliament,32.24,40.35,6.62,11.09,5.79,36.5
Município,Arganil,2011,Parliament,31.87,50.28,3.36,7.19,2.9,40.4
Município,Armamar,2011,Parliament,22.33,54.83,5.12,13.19,2,43.1
Município,Arouca,2011,Parliament,21.57,51.57,2.02,19.35,2.51,39.4
Município,Arraiolos,2011,Parliament,25.72,21.37,37.23,6.46,4.32,36.3
Município,Arronches,2011,Parliament,34.42,41.77,7.79,9.23,3.27,41.8
Município,Arruda dos Vinhos,2011,Parliament,29.03,37.14,10.17,12.58,5.3,37.2
NUTS III,Ave,2011,Parliament,39.17,38.29,5.07,9.67,4.07,37.4
Município,Aveiro,2011,Parliament,21.47,45.5,4.58,17.88,6.39,39.9
Município,Avis,2011,Parliament,22.53,20.63,44.56,5.57,3.33,32.9
Município,Azambuja,2011,Parliament,32.82,27.09,15.89,10.35,7.66,40
Município,Baião,2011,Parliament,42.04,43.26,2.63,7.06,1.71,46.9
NUTS III,Baixo Alentejo,2011,Parliament,31.35,24.15,27.46,7.36,4.98,45.5
Município,Barcelos,2011,Parliament,29.21,48.82,3.34,10.51,3.87,33.6
Município,Barrancos,2011,Parliament,29.76,22.85,22.14,15.94,2.96,49.9
Município,Barreiro,2011,Parliament,30.05,19.6,27.62,9.82,7.6,38.1
Município,Batalha,2011,Parliament,16.1,56.9,2.07,15.54,5.22,36
NUTS III,Beira Baixa,2011,Parliament,33.75,43.03,3.86,10.67,4.35,41.7
NUTS III,Beiras e Serra da Estrela,2011,Parliament,34.51,42.21,5.01,10.57,4.06,45.1
Município,Beja,2011,Parliament,28.53,27.55,25.11,8.85,5.9,43.6
Município,Belmonte,2011,Parliament,38.95,34.55,6.78,8.44,5.44,46.4
Município,Benavente,2011,Parliament,25.42,31.86,16.74,13.36,6.33,45.6
Município,Bombarral,2011,Parliament,22.82,42.51,8.25,17.5,4.84,43.7
Município,Borba,2011,Parliament,40.97,24.41,17.93,6.4,5.93,39.1
Município,Boticas,2011,Parliament,22.24,68.32,2.31,3.93,0.92,49
Município,Braga,2011,Parliament,31.16,38.84,7.65,11.73,6.26,35.4
Município,Bragança,2011,Parliament,26.87,53.48,3.33,10.48,3.16,52.2
Município,Cabeceiras de Basto,2011,Parliament,41.8,43.74,2.43,7.13,1.78,44.4
Município,Cadaval,2011,Parliament,30.87,43.85,5.04,11.93,3.62,40.7
Município,Caldas da Rainha,2011,Parliament,21.74,47.81,4.77,14.86,6.23,41.6
Município,Caminha,2011,Parliament,29.99,43.26,6.19,10.24,6.07,44.2
Município,Campo Maior,2011,Parliament,45.75,20.33,19.26,6.31,5.24,44.2
Município,Cantanhede,2011,Parliament,23.21,55.12,3.24,10.63,4.24,46.5
Município,Carrazeda de Ansiães,2011,Parliament,27.35,53.5,2.14,11.74,2.22,49.2
Município,Carregal do Sal,2011,Parliament,24.94,52.93,2.54,13.84,2.92,49.5
Município,Cartaxo,2011,Parliament,30.91,32.33,10.79,12.33,6.93,41.1
Município,Cascais,2011,Parliament,23.21,41.42,6.75,18.23,5.23,38.6
Município,Castanheira de Pêra,2011,Parliament,42.01,39.45,2.91,8.89,3.02,42.6
Município,Castelo Branco,2011,Parliament,34.01,39.85,4.74,11.27,5.71,41.6
Município,Castelo de Paiva,2011,Parliament,38.36,45.28,2.38,7.94,3.61,41.4
Município,Castelo de Vide,2011,Parliament,32.34,39.36,7.74,10.28,5.03,37.5
Município,Castro Daire,2011,Parliament,27.86,54.05,2.34,11.62,1.5,51.9
Município,Castro Marim,2011,Parliament,31.15,40.92,7.4,9.65,6.56,43.4
Município,Castro Verde,2011,Parliament,31.1,19.53,29.3,6.34,8.75,45.9
NUTS III,Cávado,2011,Parliament,28.87,44.87,5.17,12.06,4.78,37.4
Município,Celorico da Beira,2011,Parliament,28.1,51.21,2.67,10.81,4.33,45.5
Município,Celorico de Basto,2011,Parliament,27.53,51.38,2.47,12.6,2.21,44.4
NUTS II,Centro,2011,Parliament,26.83,46.04,5.39,12.52,5.15,42.5
Município,Chamusca,2011,Parliament,33.16,27.18,16.68,10.92,5.41,44.4
Município,Chaves,2011,Parliament,26.25,56.78,3.21,8.48,2.53,50
Município,Cinfães,2011,Parliament,40.09,41.08,2.63,11.18,1.95,46.6
Município,Coimbra,2011,Parliament,30,37.74,8.84,11.55,8.01,38.7
Município,Condeixa-a-Nova,2011,Parliament,33.76,36.48,8.11,9.27,8.02,41.9
Município,Constância,2011,Parliament,32.46,27.98,14.16,14.06,4.86,36.5
NUTS I,Continente,2011,Parliament,29.63,39.8,8.48,12.17,5.45,40.5
Município,Coruche,2011,Parliament,31.75,27.33,21.6,10.04,4.59,43.6
Município,Covilhã,2011,Parliament,46.23,27.95,8.76,8.18,5.01,42.3
Município,Crato,2011,Parliament,34.16,34.16,14.32,9.73,3.42,39.5
Município,Cuba,2011,Parliament,31.45,20.98,33.8,6.11,3.38,41
NUTS III,Douro,2011,Parliament,30.68,49.92,3.38,10.75,2.6,46.8
Município,Elvas,2011,Parliament,38.37,31.22,6.53,13.51,6.13,49.6
Município,Entroncamento,2011,Parliament,25.98,33.92,8.43,17.57,9.45,37.2
Município,Espinho,2011,Parliament,30.42,41.02,8.41,10.41,5.89,34.3
Município,Esposende,2011,Parliament,21.09,51.42,4.25,15.31,3.67,41.4
Município,Estarreja,2011,Parliament,22.94,48.34,5.48,14.1,5.33,45.6
Município,Estremoz,2011,Parliament,32.03,35.43,13.71,10.53,4.17,42.3
Município,Évora,2011,Parliament,27.85,32.46,18.45,10.99,6.01,40
Município,Fafe,2011,Parliament,41.65,38.49,4.25,8.25,3.43,41.2
Município,Faro,2011,Parliament,24.6,38.26,9.25,13.39,8.7,41.6
Município,Felgueiras,2011,Parliament,39.19,41.41,4.04,7.9,3.64,39
Município,Ferreira do Alentejo,2011,Parliament,36.23,20.98,26.15,7.3,4.89,41.7
Município,Ferreira do Zêzere,2011,Parliament,24.36,55,2.68,9.59,3.66,37.6
Município,Figueira da Foz,2011,Parliament,29.28,39.56,7.65,11.72,6.54,45.4
Município,Figueira de Castelo Rodrigo,2011,Parliament,31.18,54.89,1.64,7.68,2.64,46.6
Município,Figueiró dos Vinhos,2011,Parliament,23,57.82,2.16,10.02,3.56,37.6
Município,Fornos de Algodres,2011,Parliament,28.76,49.05,2.14,14.58,2.44,43
Município,Freixo de Espada à Cinta,2011,Parliament,32.63,53.18,2.12,6.36,2.42,47.4
Município,Fronteira,2011,Parliament,34.54,36.56,12.03,8.94,4.42,37.2
Município,Fundão,2011,Parliament,37,39.52,4.36,9.66,4.33,46.5
Município,Gavião,2011,Parliament,43.88,27.22,11.96,7.01,5.32,36.9
Município,Góis,2011,Parliament,38.53,45.69,2.52,6.41,3.23,40.6
