NUTS,Location,Year,Election Type,PS,PSD,PCP,CDS,BE,Abstention
Município,Mangualde,2009,European,34.93,41.03,4.69,9.17,6.86,68.1
Município,Manteigas,2009,European,34.43,31.4,12.29,5.64,10.86,68.2
Município,Marco de Canaveses,2009,European,30.65,41.41,5.79,11.13,6.94,68
Município,Marinha Grande,2009,European,28.04,19.51,23.61,5.25,17.75,64
Município,Marvão,2009,European,38.81,37.58,6.04,6.23,7.27,65.8
Município,Matosinhos,2009,European,37.59,27.07,9.02,7.5,13.84,57.7
Município,Mealhada,2009,European,36.63,31.12,8.46,6.49,13.25,68.3
Município,Mêda,2009,European,22.64,54.15,3.39,11.04,4.82,63.7
NUTS III,Médio Tejo,2009,European,25.95,37.43,8.66,9.03,12.84,59.6
Município,Melgaço,2009,European,39.39,41.21,2.59,7.37,5.96,76.9
Município,Mértola,2009,European,32.34,7.84,44.88,2.96,6.88,60.7
Município,Mesão Frio,2009,European,32.06,49.64,3.76,6.79,5.52,63.9
Município,Mira,2009,European,30.21,44.6,3.52,7.58,9.63,68.6
Município,Miranda do Corvo,2009,European,37.4,34.41,7.18,5.66,10.67,64.5
Município,Miranda do Douro,2009,European,31.07,50.61,2.33,6.61,5.77,71.1
Município,Mirandela,2009,European,18.43,50.56,5.81,14.4,7.26,66.4
Município,Mogadouro,2009,European,22.42,55.51,2.49,10.87,5.72,70.7
Município,Moimenta da Beira,2009,European,26.59,47.47,4.18,12.33,6.21,72.1
Município,Moita,2009,European,21.97,11.25,37.47,5.28,17.8,62.4
Município,Monção,2009,European,30.51,41.79,3.32,11.3,9.32,75.1
Município,Monchique,2009,European,28.75,33.73,10.72,6.42,11.87,54.7
Município,Mondim de Basto,2009,European,24.75,46.54,5.05,16.2,4.35,69.5
Município,Monforte,2009,European,33.76,19.63,24.04,7.43,9.54,61.9
Município,Montalegre,2009,European,41.66,45.83,2.41,4.19,3.86,70
Município,Montemor-o-Novo,2009,European,23.11,14.2,46.01,3.81,7.88,54
Município,Montemor-o-Velho,2009,European,35.26,30.66,9.33,7.5,12.08,69.5
Município,Montijo,2009,European,27.88,22.05,20.2,8.13,14.85,66.5
Município,Mora,2009,European,19.71,17.42,46.42,3.35,7.57,60
Município,Mortágua,2009,European,34.99,39.75,3.92,8.46,9.22,71.7
Município,Moura,2009,European,33.53,14.26,34.01,5.27,8.12,74.9
Município,Mourão,2009,European,41.82,24.66,15.91,5.34,7.39,64.7
Município,Murça,2009,European,27.09,49.87,3.11,10.86,5.71,68.5
Município,Murtosa,2009,European,14.46,59.4,4.77,8.36,7.29,73
Município,Nazaré,2009,European,30.74,29.79,10.53,7.07,16.19,72.3
Município,Nelas,2009,European,25.95,41.28,4.95,12.73,10.53,67.4
Município,Nisa,2009,European,34.35,29.24,17.38,5.34,8.54,60.4
NUTS II,Norte,2009,European,30.72,37.71,7.48,9.54,9.87,61.7
Município,Óbidos,2009,European,29.27,36.64,8.37,8.72,11.11,67.2
Município,Odemira,2009,European,30.22,15.38,30.02,4.86,11.18,62.4
Município,Odivelas,2009,European,30.94,25.64,14.82,7.71,13.98,59.6
Município,Oeiras,2009,European,26.56,30.77,10.57,10.4,14.47,57.1
NUTS III,Oeste,2009,European,27.9,34.71,10.84,8.87,11.17,63.8
Município,Oleiros,2009,European,17.65,66.48,2.22,6.73,2.98,58.9
Município,Olhão,2009,European,25.27,26.18,13.2,8.87,18.26,70.9
Município,Oliveira de Azeméis,2009,European,27.79,39.77,4.59,12.29,9.04,61
Município,Oliveira de Frades,2009,European,22.22,52.34,4.58,10.48,6.02,62.1
Município,Oliveira do Bairro,2009,European,11.94,55.1,3.73,18.73,6.22,65.2
Município,Oliveira do Hospital,2009,European,29.98,48.4,3.84,6.9,6.7,64.7
Município,Ourém,2009,European,16.05,55.28,3.22,13.03,6.85,63.4
Município,Ourique,2009,European,33.9,34.32,19.6,3.5,5.24,62
Município,Ovar,2009,European,28.95,33.03,10.02,7.57,13.78,63.6
Município,Paços de Ferreira,2009,European,29.26,45.7,5.09,9.84,6,65.3
Município,Palmela,2009,European,23.8,17.66,27.32,7.77,16.08,64.1
Município,Pampilhosa da Serra,2009,European,30.62,52.87,2.98,5.1,5.33,62.3
Município,Paredes,2009,European,27.72,43.97,6.35,10.3,7.17,60.1
Município,Paredes de Coura,2009,European,36.13,37.61,5.51,6.38,9.04,72.6
Município,Pedrógão Grande,2009,European,19.28,61.22,3.38,5.83,5.76,61.7
Município,Penacova,2009,European,33.24,42,7.95,6.51,6.83,67.2
Município,Penafiel,2009,European,33.79,40.61,6.68,7.16,6.84,59.9
Município,Penalva do Castelo,2009,European,27.25,48.4,4.85,9.59,5.85,68.3
Município,Penamacor,2009,European,36.25,35.96,5.04,10.08,6.72,66.1
Município,Penedono,2009,European,28.4,44.93,5.11,10.14,7.03,68.8
Município,Penela,2009,European,27.26,51.86,4.16,5.21,6.98,65
Município,Peniche,2009,European,26.31,32.37,15.72,7.82,11.28,70.7
Município,Peso da Régua,2009,European,31.08,39.02,7.74,10.49,8.04,71.2
Município,Pinhel,2009,European,21.42,50.72,6.46,10.29,6.97,68.3
Município,Pombal,2009,European,20.72,53.03,3.57,8.68,9.23,72.1
Município,Ponte da Barca,2009,European,33.03,50.56,3.18,5.22,5.56,68.3
Município,Ponte de Lima,2009,European,18.19,46.91,4.28,20.1,6.6,60.9
Município,Ponte de Sor,2009,European,27.96,19.96,29.21,4.83,11.33,63.7
Município,Portalegre,2009,European,31.5,33.4,9.44,7.75,12.95,63.1
Município,Portel,2009,European,34.75,6.98,44.05,2.4,7.24,59
Município,Portimão,2009,European,28.07,26.33,10.06,9.03,18.48,64
Município,Porto,2009,European,28.1,34,10.25,9.75,12.54,56.5
Município,Porto de Mós,2009,European,21.87,44.29,4.79,11.91,10.64,59.9
